movieid,title,year,director,actor1,actor2,actor3,actor4,actor5,plot
2858,American Beauty,1999,Sam Mendes,Kevin Spacey,Mena Suvari,Thora Birch,Wes Bentley,Annette Bening,"Lester's life seems perfect, having a respectable job and a family. But inside, he is slowly slipping into depression. Struggling with life, he gets infatuated to his daughter's friend, Angela."
32,Twelve Monkeys ,1995,,,,,,,
590,Dances with Wolves,1990,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,Floyd Red Crow Westerman,"A Civil War soldier develops a relationship with a band of Lakota Indians. Attracted by the simplicity of their lifestyle, he chooses to leave his former life behind to be with them. Having observed him, they give the name Dances With Wolves. Soon he is a welcomed member of the tribe and falls in love with a white woman who has been raised in the tribe. Tragedy results when Union soldiers arrive with designs on the land.â€?Â More"
1198,Raiders of the Lost Ark ,1981,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhysâ€‘Davies,Alfred Molina,Archeology professor Indiana Jones ventures out to seize a biblical artifact known as the 'The Ark of the Covenant'. Jones must fight against Renee and a troop of Nazis before locating the artifact.
608,Fargo,1996,,Frances McDormand,Steve Buscemi,William H. Macy,Peter Stormare,Harve Presnell,Jerry hires men to abduct his wife and use her to extract money from his father-in-law. Things don't go as planned and Jerry finds himself in big trouble.
47,Seven ,1995,,,,,,,
380,True Lies,1994,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Eliza Dushku,A secret agent's life takes a shocking turn when he learns about his wife's extramarital affair. He must now not only save the world but also save his own marriage.
588,Aladdin,1992,,Robin Williams,Jonathan Freeman,Scott Weinger,Lea Salonga,Brad Kane,"Aladdin, an urchin, falls in love with Princess Jasmine. He cannot marry her as she can only marry a prince. He finds a magic lamp that turns him into a prince, but first he must face the evil Jafar."
377,Speed,1994,Jan de Bont,Keanu Reeves,Sandra Bullock,Dennis Hopper,Jeff Daniels,Joe Morton,"A disgruntled, dangerous man plants a bomb in an elevator. When that fails, he plants a bomb in a local bus and threatens to set it off unless his demand is met. Can Officer Jack save the passengers?"
1270,Back to the Future,1985,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Claudia Wells,Thomas F. Wilson,Marty travels back in time using a time machine invented by an eccentric scientist. He meets his parents there and accidentally attracts his mother's attention. He must make his parents fall in love.
858,"Godfather, The",1972,Francis Ford Coppola,Al Pacino,Marlon Brando,Robert Duvall,James Caan,Diane Keaton,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2959,Fight Club,1999,David Fincher,Brad Pitt,Edward Norton,Helena Bonham Carter,Jared Leto,Meat Loaf,"An ordinary employee is tired of his drudged existence. His life changes when he meets Tyler, a soap salesman, and the two develop a unique bond after they decide to fight each other."
2762,"Sixth Sense, The",1999,M. Night Shyamalan,Haley Joel Osment,Bruce Willis,Toni Collette,Donnie Wahlberg,Mischa Barton,"Malcolm Crowe, child psychologist, starts treating a young boy who acts as a medium of communication between Crowe and a slew of unhappy spirits."
364,"Lion King, The",1994,,Simba,Scar,Mufasa,Nala,Rafiki,"Naive cub and lion prince Simba is made to believe that he killed his father, which is why he flees into exile. After several years, Simba returns to claim the kingdom and overthrow the usurper."
344,Ace Ventura: Pet Detective,1994,Tom Shadyac,Jim Carrey,Courteney Cox,Sean Young,Tone LÅçc,Rebecca Ferratti,"Ace Ventura, a private detective specializes in finding lost animals. When Snowflake, a football team's aquatic mascot goes missing, he is called to investigate. Will he save the big game?"
4993,"Lord of the Rings: The Fellowship of the Ring, The",2001,Peter Jackson,Elijah Wood,Orlando Bloom,Viggo Mortensen,Ian McKellen,Sean Astin,"A young hobbit, Frodo, who has found the One Ring that belongs to the Dark Lord Sauron, begins his journey with eight companions to Mount Doom, the only place where it can be destroyed."
648,Mission: Impossible,1996,Brian De Palma,Tom Cruise,Ving Rhames,Emmanuelle BÃ©art,Jon Voight,Jean Reno,"An American special agent, suspected of killing off his entire team after a botched mission, struggles to prove his innocence."
2028,Saving Private Ryan,1998,Steven Spielberg,Tom Hanks,Matt Damon,Vin Diesel,Tom Sizemore,Edward Burns,"During the Normandy invasion, Captain John Miller is assigned the task to search for a man whose brothers have been killed in war."
1580,Men in Black ,1997,,,,,,,
595,Beauty and the Beast,1991,,Beast,Belle,Gaston,Mrs. Potts,Cogsworth,"Belle, a beautiful young woman, agrees to live with the Beast in exchange for the return of her abducted father. Soon, Belle discovers that her hideous captor is actually an enchanted prince."
500,Mrs. Doubtfire,1993,Chris Columbus,Robin Williams,Mara Wilson,Sally Field,Lisa Jakub,Pierce Brosnan,"Daniel, a divorced actor, must disguise himself as Mrs. Doubtfire, an ageing female Scottish housekeeper, in order to spend more time with his own children."
367,"Mask, The",1994,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Greene,Amy Yasbeck,Peter Riegert,"Stanley, an easy-going bank employee, becomes a crazy green-skinned being who can bend reality after wearing a wooden mask, inhabited by Loki, a Norse god."
5952,"Lord of the Rings: The Two Towers, The",2002,Peter Jackson,Elijah Wood,Viggo Mortensen,Orlando Bloom,Sean Astin,Ian McKellen,"Frodo and Sam arrive in Mordor to destroy the One Ring. However, a number of new allies join their former companions as they launch an assault on Isengard."
165,Die Hard: With a Vengeance,1995,John McTiernan,Bruce Willis,Samuel L. Jackson,Jeremy Irons,Sam Phillips,Colleen Camp,"Detective McClane finds himself in a fix when a man named Simon threatens him to play an odd game, failing which Simon would explode bombs in New York."
597,Pretty Woman,1990,Garry Marshall,Julia Roberts,Richard Gere,Laura San Giacomo,HÃ©ctor Elizondo,Jason Alexander,A rich entrepreneur hires a prostitute to accompany him at a few social events. Trouble ensues when he falls head over heels in love with her and they try to bridge the gap between their worlds.
1240,"Terminator, The",1984,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Franco Columbu,Earl Boen,"A cyborg assassin is sent back in time to kill Sarah, a waitress, in a bid to stop her son who will wage a long war against his enemy in the future unless the course of history is altered."
1136,Monty Python and the Holy Grail,1975,,King Arthur,Black Knight,Lancelot,Bedivere,Patsy,"A comedic send-up of the grim circumstances of the Middle Ages as told through the story of King Arthur and framed by a modern-day murder investigation. When the mythical king of the Britons leads his knights on a quest for the Holy Grail, they face a wide array of horrors, including a persistent Black Knight, a three-headed giant, a cadre of shrubbery-challenged knights, the perilous Castle Anthrax, a killer rabbit, a house of virgins, and a handful of rude Frenchmen.â€?Â More"
3578,Gladiator,2000,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris,"Commodus takes over power and demotes Maximus, one of the preferred generals of his father and predecessor, Emperor Marcus Aurelius. Maximus is relegated to fighting till death as a gladiator."
153,Batman Forever,1995,Joel Schumacher,Val Kilmer,Jim Carrey,Nicole Kidman,Chris O'Donnell,Tommy Lee Jones,Batman must stop Two-Face who seeks revenge from him after a courtroom accident leaves him disfigured on one side and The Riddler who wants to drain information from all the brains in Gotham.
1097,E.T. the Extra-Terrestrial,1982,Steven Spielberg,Drew Barrymore,Henry Thomas,Robert MacNaughton,Dee Wallace,Erika Eleniak,"An alien is left behind on Earth and is saved by young Elliot who decides to keep him hidden. While the task force hunts for it, Elliot and his siblings form an emotional bond with their new friend."
1197,"Princess Bride, The",1987,Rob Reiner,Cary Elwes,Robin Wright,Mandy Patinkin,AndrÃ© the Giant,Wallace Shawn,"A fairy tale adventure about a beautiful young woman and her one true love. He must find her after a long separation and save her. They must battle the evils of the mythical kingdom of Florin to be reunited with each other. Based on the William Goldman novel ""The Princess Bride"" which earned its own loyal audience.â€?Â More"
736,Twister,1996,Jan de Bont,Helen Hunt,Bill Paxton,Jami Gertz,Philip Seymour...,Cary Elwes,Ben and Jo are storm chasers who have to put their impending divorce on hold to battle a series of violent tornadoes that are destroying Oklahoma.
34,Babe,1995,Chris Noonan,James Cromwell,Christine Cavanaugh,Magda Szubanski,Miriam Margolyes,Russi Taylor,"A piglet befriends a sheepdog, Fly, and with her help decides to learn how to herd sheep."
1721,Titanic,1997,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Gloria Stuart,Kathy Bates,"Seventeen-year-old Rose hails from an aristocratic family and is set to be married. When she boards the Titanic, she meets Jack Dawson, an artist, and falls in love with him."
231,Dumb & Dumber ,1994,,,,,,,
1265,Groundhog Day,1993,Harold Ramis,Bill Murray,Harold Ramis,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,"Phil is a nasty, self-centered weatherman who is forced to relive one strange day over and over again. What will Phil do to make things go right for him?"
4306,Shrek,2001,,Mike Myers,Cameron Diaz,Eddie Murphy,Cody Cameron,Conrad Vernon,"Shrek, an ogre, embarks on a journey with a donkey to rescue Princess Fiona from a vile lord and regain his swamp."
316,Stargate,1994,Roland Emmerich,James Spader,Kurt Russell,Jaye Davidson,Mili Avital,Alexis Cruz,"In modern-day Egypt, professor Daniel Jackson (James Spader) teams up with retired Army Col. Jack O'Neil (Kurt Russell) to unlock the code of an interstellar gateway to an ancient Egypt-like world. They arrive on a planet ruled by the despotic Ra (Jaye Davidson), who holds the key to the Earth travelers' safe return. Now, in order to escape from their intergalactic purgatory, Jackson and O'Neil must convince the planet's people that Ra must be overthrown.â€?Â More"
7153,"Lord of the Rings: The Return of the King, The",2003,Peter Jackson,Elijah Wood,Viggo Mortensen,Orlando Bloom,Sean Astin,Ian McKellen,"The former Fellowship of the Ring prepare for the final battle. While Frodo and Sam approach Mount Doom to destroy the One Ring, they follow Gollum, unaware of the path he is leading them to."
733,"Rock, The",1996,Michael Bay,Nicolas Cage,Sean Connery,Ed Harris,Vanessa Marcil,David Morse,A dishonest Brigadier General Frank Hummel and his troops take hold of a stockpile of dangerous VX gas-armed M55 rockets and threaten the government to launch rockets on the city of San Francisco.
1291,Indiana Jones and the Last Crusade,1989,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,River Phoenix,Julian Glover,"When archaeologist Indiana Jones learns that his father has disappeared while looking for the Holy Grail, he sets out to search for his father."
1214,Alien,1979,Ridley Scott,Sigourney Weaver,Tom Skerritt,Veronica Cartwright,Yaphet Kotto,Harry Dean Stanton,"The crew of a commercial spacecraft finds itself in danger when they discover a signal from an alien spacecraft. To their horror, they are attacked by an alien creature."
541,Blade Runner,1982,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Daryl Hannah,Edward James Olmos,"Deckard (Harrison Ford) is forced by the police Boss (M. Emmet Walsh) to continue his old job as Replicant Hunter. His assignment: eliminate four escaped Replicants from the colonies who have returned to Earth. Before starting the job, Deckard goes to the Tyrell Corporation and he meets Rachel (Sean Young), a Replicant girl he falls in love with.â€?Â More"
4226,Memento,2000,Christopher Nolan,Guy Pearce,Carrieâ€‘Anne Moss,Joe Pantoliano,Mark Boone Junior,Jorja Fox,"A man, suffering from short-term memory loss, uses notes and tattoos to hunt for the man he thinks killed his wife.   Stars: Guy Pearce"
1036,Die Hard,1988,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,Alexander Godunov,"Just as Detective McClane lands in LA to spend Christmas with his wife, he learns about a hostage situation in an office building. Hans Gruber is the culprit and McClane's wife is one of the hostages."
1193,One Flew Over the Cuckoo's Nest,1975,MiloÅ¡ Forman,Jack Nicholson,Louise Fletcher,Danny DeVito,Brad Dourif,Will Sampson,"In order to escape the prison labour, McMurphy, a prisoner, fakes insanity and is shifted to the special ward for the mentally unstable. In this ward, he must rise up against a cruel nurse, Ratched."
2628,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Darth Vader,PadmÃ© Amidala,Darth Maul,Obiâ€‘Wan Kenobi,Yoda,"Two Jedi Knights set out to search for someone who can bring peace to the Force. Their search ends when they come across a young, gifted boy. But the Sith returns to stake claim to the Force."
349,Clear and Present Danger,1994,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,James Earl Jones,"Jack Ryan uncovers an illegal operation against drug cartels within the CIA. Caught in a web of conspiracies, he must now risk his life and his career in order to bring the perpetrators to justice."
587,Ghost,1990,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Rick Aviles,"Sam and Molly love each other, but their romance is short-lived when Sam is killed by a thug. Unable to tell Molly that her life is in danger, Sam's spirit takes help of a psychic."
2716,Ghostbusters ,1984,,,,,,,
10,GoldenEye,1995,Martin Campbell,Pierce Brosnan,Izabella Scorupco,Famke Janssen,Sean Bean,Samantha Bond,"Agent 007, along with Natalia Simonav, travels to Russia to locate the satellite nuclear weapon stolen by Alec, a former agent, who Bond believed was dead."
539,Sleepless in Seattle,1993,Nora Ephron,Meg Ryan,Tom Hanks,Ross Malinger,Rita Wilson,Bill Pullman,"Realising that Sam has still not come to terms with his wife Maggie's death, his eight-year-old son Jonah forces him to call a national radio talk show, with the hopes of finding him a companion."
586,Home Alone,1990,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,John Heard,"Eight-year-old Kevin is accidentally left behind when his family leaves for France. At first, he's happy to be in charge; but when thieves try to break into his home, he puts up a fight like no other."
1073,Willy Wonka & the Chocolate Factory,1971,,Johnny Depp,Gene Wilder,Blair Dunlop,Veruca Salt,Charlie Bucket,"Willy Wonka is a character in Roald Dahl's 1964 children's novel Charlie and the Chocolate Factory, its sequel Charlie and the Great Glass Elevator, and the film adaptations of these books that followed. Wikipedia"
1704,Good Will Hunting,1997,Gus Van Sant,Matt Damon,Robin Williams,Ben Affleck,Minnie Driver,Casey Affleck,"Will Hunting, a genius in mathematics, is able to solve all the difficult mathematical problems. He takes the help of a psychiatrist to lead a better lifestyle."
208,Waterworld,1995,,Kevin Costner,Jeanne Tripplehorn,Tina Majorino,Dennis Hopper,Jack Black,A mysterious wanderer named the 'Mariner' rescues a woman and her adopted daughter from harm and they embark on a quest that could save mankind.
357,Four Weddings and a Funeral,1994,Mike Newell,Hugh Grant,Andie MacDowell,Kristin Scott Thomas,Simon Callow,John Hannah,"Charles, a good-natured young introvert, tries to discover his true love for Carrie as he attends the wedding of four of his friends and a funeral."
1527,"Fifth Element, The",1997,Luc Besson,Milla Jovovich,Bruce Willis,Gary Oldman,Chris Tucker,MaÃ¯wenn,"A cab driver in the 23rd century finds himself battling an evil force during an apocalyptic war as he tries to secure a mysterious ""fifth element"", as only the fifth element can stop the evil force."
1089,Reservoir Dogs,1992,Quentin Tarantino,Quentin Tarantino,Tim Roth,Michael Madsen,Harvey Keitel,Steve Buscemi,"Six criminals are hired to rob diamonds. All of them are given fake names so that they cannot know each other's true identity. While attempting the heist, the men are ambushed by the police."
253,Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,Antonio Banderas,Christian Slater,"After the death of his wife and daughter, Spanish lord Louis is turned into a vampire by Lestat de Lioncourt. To keep Louis by his side, Lestat converts a plague-ridden girl."
1221,"Godfather: Part II, The",1974,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,James Caan,Diane Keaton,"Michael, Vito Corleone's son, attempts to expand his family's crime empire. While he strikes a business deal with gangster Hyman Roth, he is unaware of the dangers he has gotten himself into."
1200,Aliens,1986,James Cameron,Sigourney Weaver,Michael Biehn,Bill Paxton,Lance Henriksen,Jenette Goldstein,Ellen Ripley is sent back to the planet LV-426 to establish contact with a terraforming colony. She has no choice but to face the deadly Alien Queen and her offspring on this planet.
2997,Being John Malkovich,1999,Spike Jonze,John Malkovich,John Cusack,Cameron Diaz,Catherine Keener,Orson Bean,"A puppeteer takes up a job to support his family. While working late one night, he finds a portal that leads directly to the head of the Hollywood actor John Malkovich."
3793,X-Men,2000,Bryan Singer,Hugh Jackman,Patrick Stewart,Halle Berry,Ian McKellen,Famke Janssen,Two mutants find themselves torn between two conflicting groups that have contrasting ideologies with regard to the development of the mutant kind.
1617,L.A. Confidential,1997,Curtis Hanson,Kim Basinger,Russell Crowe,Kevin Spacey,Guy Pearce,Danny DeVito,Three cops with different agendas investigate a murder case with links to corruption in the police force.
1213,Goodfellas,1990,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,"Based on a true story, the plot revolves around Henry and his two unstable friends Jimmy and Tommy as they gradually climb the ladder from petty crime to violent murders."
329,Star Trek: Generations,1994,David Carson,,,,,,
39,Clueless,1995,Amy Heckerling,Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Cher is a rich high-school student who is learning to cope with adolescence and its problems. She also helps a new student gain popularity and in the process discovers her own feelings.
292,Outbreak,1995,Wolfgang Petersen,Dustin Hoffman,Morgan Freeman,Rene Russo,Kevin Spacey,Cuba Gooding Jr.,The story of handful of scientists who struggle to prevent the destruction of a small town. A deadly virus carried by a monkey host from the African rain forest starts infecting the entire population.
293,L√©on: The Professional ,1994,,,,,,,
454,"Firm, The",1993,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Holly Hunter,Ed Harris,Mitch is a lawyer who is lured by a big law firm with the promise of a bright future. Things don't go as planned after he finds himself embroiled in a murder case.
6539,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush,Kevin McNally,"A blacksmith joins forces with Captain Jack Sparrow, a pirate, in a bid to free the love of his life from Jack's associates."
924,2001: A Space Odyssey,1968,Stanley Kubrick,HAL 9000,Frank Poole,Heywood R. Floyd,David Bowman,Moonâ€‘Watcher,"When a mysterious monolith, which is linked to human evolution, is found, a team of scientists and pilots go on a mission to Jupiter, assisted by their ship's sentient computer HAL 9000."
3996,"Crouching Tiger, Hidden Dragon ",2000,,,,,,,
434,Cliffhanger,1993,Renny Harlin,Sylvester Stallone,Janine Turner,John Lithgow,Michael Rooker,Caroline Goodall,A mountain ranger haunted by a failed rescue attempt returns to the mountains to help plane crash survivors. He soon learns that they are crooks using him to find the loot scattered near the wreckage.
1206,"Clockwork Orange, A",1971,,,,,,,
2683,Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,Mike Myers,Heather Graham,Elizabeth Hurley,Robert Wagner,Seth Green,"Dr. Evil uses a 'Time Machine' to travel back to 1969 and remove Austin Powers' mojo. The hapless swinger too travels back in time and, with the help of agent Felicity Shagwell, recovers his vitality."
185,"Net, The",1995,Irwin Winkler,Sandra Bullock,Jeremy Northam,Dennis Miller,Diane Baker,Wendy Gazelle,"Angela Bennett, a computer programmer, after stumbling upon government secrets finds herself on the run from an unknown enemy hell-bent on destroying her completely."
1961,Rain Man,1988,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,Bonnie Hunt,"LA-based automobile dealer Charlie is a selfish man. When his estranged father leaves the bulk of his fortunes to someone else, Charlie learns that the person is none other than his reclusive brother."
1923,There's Something About Mary,1998,,Cameron Diaz,Ben Stiller,Matt Dillon,Chris Elliott,Lin Shaye,"Ted, a geek, attempts to track down his high-school sweetheart Mary but is distraught to find he has rivals who are trying to woo her. Who will be the lucky guy to win Mary's love?"
2396,Shakespeare in Love,1998,John Madden,Gwyneth Paltrow,Joseph Fiennes,Judi Dench,Ben Affleck,Geoffrey Rush,"A young Shakespeare is looking for a muse to help with his writing and he meets Viola who plays the part perfectly. However, she is bespoken to Lord Wessex."
111,Taxi Driver,1976,Martin Scorsese,Robert De Niro,Martin Scorsese,Jodie Foster,Cybill Shepherd,Harvey Keitel,"Travis, an ex-Marine and Vietnam veteran who works as a taxi driver in New York City, is driven to save a preadolescent prostitute from her pimp in an effort to clean the city of its sleaze."
1682,"Truman Show, The",1998,Peter Weir,Jim Carrey,Laura Linney,Ed Harris,Natascha McElhone,Noah Emmerich,An insurance salesman discovers his entire life is actually a TV show and that even members of his family were mere actors. He then attempts an escape from his dreary life.
912,Casablanca,1942,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Madeleine LeBeau,Paul Henreid,Claude Rains,"Classic film set in unoccupied Africa during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications."
4973,Amelie ,2001,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Yolande Moreau,Dominique Pinon,Jamel Debbouze,"Amelie, who grows up in a dysfunctional family, is a whimsical and a carefree woman. She strives to bring happiness to others and in the process finds the love that she yearns for."
21,Get Shorty,1995,Barry Sonnenfeld,John Travolta,Danny DeVito,Rene Russo,Barry Sonnenfeld,Gene Hackman,"Chili Palmer, a Miami-based loan shark, travels to Los Angeles to collect gambling debts. Later, he ends up getting involved in the film business."
6,Heat,1995,Michael Mann,Robert De Niro,Al Pacino,Val Kilmer,Natalie Portman,Ashley Judd,"Lieutenant Hanna, a detective, decides to nab a seasoned criminal who has vowed to pull off one last robbery before he retires."
4963,Ocean's Eleven,2001,Steven Soderbergh,George Clooney,Brad Pitt,Matt Damon,Julia Roberts,Andy GarcÃ?a,"Danny Ocean, a gangster, assembles a group of eleven people in order to loot three popular casinos owned by Terry Benedict."
223,Clerks,1994,Kevin Smith,Kevin Smith,Jason Mewes,Jeff Anderson,Brian O'Halloran,Scott Mosier,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies and play hockey on the store roof."
4886,"Monsters, Inc.",2001,,Mike Wazowski,James P. Sullivan,Boo,Randall Boggs,Henry J. Waternoose III,"Top scarer Sulley and his friend Mike are scared silly when a little girl wanders into Monstropolis, their monster world, and try their best to get her back to her room."
5445,Minority Report,2002,Steven Spielberg,Tom Cruise,Daniel London,Colin Farrell,Samantha Morton,Max von Sydow,A future technology makes it possible for cops to catch criminals before a crime is committed. John Anderton is accused of one such crime and sets out to prove his innocence.
161,Crimson Tide,1995,Tony Scott,Denzel Washington,Gene Hackman,Viggo Mortensen,James Gandolfini,Matt Craven,The Captain of a submarine wants to launch an attack while his deputy wants to wait for confirmation. Their conflict escalates into a mutiny with both of them fighting for the command of the ship.
288,Natural Born Killers,1994,Oliver Stone,Juliette Lewis,Woody Harrelson,Robert Downey Jr.,Tom Sizemore,Rodney Dangerfield,"Woody Harrelson and Juliette Lewis are two young, attractive serial killers who become tabloid-TV darlings, thanks to a sensationalistic press led by Robert Downey Jr. The press reports the pair as they go on a 52 people killing spree. A controversial look at the way the media portrays criminals."
778,Trainspotting,1996,Danny Boyle,Ewan McGregor,Jonny Lee Miller,Robert Carlyle,Irvine Welsh,Ewen Bremner,"Renton is a drug addict who tries to mend his ways by moving to London and starting life afresh. He, however, is pulled back into the world of addiction by his friends."
6377,Finding Nemo,2003,,Ellen DeGeneres,Alexander Gould,Andrew Stanton,Albert Brooks,Willem Dafoe,"After his son gets abducted in the Great Barrier Reef and is despatched to Sydney, a meek clownfish embarks on a journey to bring him home."
919,"Wizard of Oz, The",1939,,Judy Garland,Jack Haley,Margaret Hamilton,Ray Bolger,Bert Lahr,"A young Kansas girl who dreams of a better life ""somewhere over the rainbow"" is caught in the eye of a tornado and lands in the fantasy world of Oz."
